+/-;Código;Classificação;Tipo;Nome;Apelido;Grupo;Relatório;Filtro;Fórmula;Condição;Plano padrão;Saldo;Código subconta;Grupo subconta;Natureza subconta;Empreendimentos Imobiliários;Unidades imobiliárias;Caixa produtor rural;Banco produtor rural;Conta transitória de produtor rural;Conta participante do Carnê Leão
;875;01.1.1.02.021;;    Banco Neon;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;920;01.1.1.02.022;;    Banco Cora;BCO CORA;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;925;01.1.1.02.023;;    Banco Nubank;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;951;01.1.1.02.024;;    Conta Pj Conta Azul;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;952;01.1.1.02.025;;    Sicredi Conta Capital;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;953;01.1.1.02.026;;    Banco B2c - Receba Fácil;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;1121;01.1.1.02.027;;    Banco Asaas;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;1216;01.1.1.02.028;;    Omie Cash;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;11;01.1.1.03;T;   Aplicações De Liquidez Imediata - Faf;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;12;01.1.1.03.001;;    Banco Do Brasil;FAFBB;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;13;01.1.1.03.002;;    Caixa Econômica Federal;FAFCEF;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;619;01.1.1.03.003;;    Bradesco;Bradesco;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;720;01.1.1.03.004;;    Bco Itaú;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;773;01.1.1.03.005;;    Bco Santander;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;776;01.1.1.03.006;;    Banrisul Aplicação;banriaplic;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;844;01.1.1.03.007;;    Banco Pag Seguro;PAGSEG;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;857;01.1.1.03.009;;    Aplicação Unicred Rdcpro500+;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;876;01.1.1.03.010;;    Sicredi;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
;884;01.1.1.03.011;;    Aplicação Unicred Invest-499;;Ativo;Balanço Patrimonial;;;;90113;Comum;;;;;;;;;
