+/-;Código;Classificação;Tipo;Nome;Apelido;Grupo;Relatório;Filtro;Fórmula;Condição;Plano padrão;Saldo;Código subconta;Grupo subconta;Natureza subconta;Empreendimentos Imobiliários;Unidades imobiliárias;Caixa produtor rural;Banco produtor rural;Conta transitória de produtor rural;Conta participante do Carnê Leão
;16;01.1.2.01.001;;    Clientes nacionais;CD;Ativo;Balanço Patrimonial;;;;90132;Comum
;17;01.1.2.02;T;   CLIENTES NACIONAIS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;18;01.1.2.02.001;;    Clientes Diversos;CDV;Ativo;Balanço Patrimonial;;;;90132;Comum
;784;01.1.2.02.002;;    RECEBIMENTO DE CARTÃO;RECBCART;Ativo;Balanço Patrimonial;;;;90132;Comum
;19;01.1.2.03;T;   CLIENTES INTERNACIONAIS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;20;01.1.2.03.001;;    Clientes internacionais;CI;Ativo;Balanço Patrimonial;;;;90132;Comum
;21;01.1.2.04;T;   CARTÕES DE CRÉDITO;;Ativo;Balanço Patrimonial;;;;90132;Comum
;22;01.1.2.04.001;;    Cartão Mastercard;;Ativo;Balanço Patrimonial;;;;90132;Comum
;23;01.1.2.04.002;;    Cartão Redeshop;;Ativo;Balanço Patrimonial;;;;90132;Comum
;24;01.1.2.05;T;   APLICAÇÕES FINANCEIRAS DE RENDA FIXA;;Ativo;Balanço Patrimonial;;;;90132;Comum
;25;01.1.2.05.001;;    Aplicações no fundo de commodities;COMO;Ativo;Balanço Patrimonial;;;;90132;Comum
;26;01.1.2.05.002;;    Aplicações no fundo DI;FDI;Ativo;Balanço Patrimonial;;;;90132;Comum
;725;01.1.2.05.003;;    Título de Capitalização;;Ativo;Balanço Patrimonial;;;;90132;Comum
;27;01.1.2.06;T;   APLICAÇÕES FINANCEIRAS DE RENDA VARIÁVEL;;Ativo;Balanço Patrimonial;;;;90132;Comum
;28;01.1.2.06.001;;    Aplicações em ações;AÇOES;Ativo;Balanço Patrimonial;;;;90132;Comum
;29;01.1.2.07;T;   APLICAÇÕES FINANCEIRAS DIVERSAS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;30;01.1.2.07.001;;    Aplicações em caderneta de poupança;POUP;Ativo;Balanço Patrimonial;;;;90132;Comum
;31;01.1.2.07.002;;    Aplicações depósito especial remunerado;DEPESP;Ativo;Balanço Patrimonial;;;;90132;Comum
;32;01.1.2.08;T;   ADIANTAMENTOS;;Ativo;Balanço Patrimonial;;;;90132;Comum
;33;01.1.2.08.001;;    Adiantamentos de salários e empregados;ADDEMPR;Ativo;Balanço Patrimonial;;;;90132;Comum
;34;01.1.2.08.002;;    Adiantamentos de pró-labore a diretores;ADDPROL;Ativo;Balanço Patrimonial;;;;90132;Comum
;35;01.1.2.08.003;;    Adiantamentos para viagens;ADDVGM;Ativo;Balanço Patrimonial;;;;90132;Comum
;36;01.1.2.08.004;;    Adiantamentos para futuro aumento de capital;ADDFAC;Ativo;Balanço Patrimonial;;;;90132;Comum
;37;01.1.2.08.005;;    Adiantamento a fornecedores;ADDFORNEC;Ativo;Balanço Patrimonial;;;;90132;Comum
;38;01.1.2.08.006;;    Adiantamento 13º Salário;ADD13SAL;Ativo;Balanço Patrimonial;;;;90132;Comum
;39;01.1.2.08.007;;    Adiantamento Férias;ADDFERIS;Ativo;Balanço Patrimonial;;;;90132;Comum
;647;01.1.2.08.008;;    Adiantamento de Distribuição de Lucros;Ad Distrib Lucros;Ativo;Balanço Patrimonial;;;;90132;Comum
;648;01.1.2.08.009;;    Adiantamento Pedágio;Ad Pedágio;Ativo;Balanço Patrimonial;;;;90132;Comum
;649;01.1.2.08.010;;    Clientes a Regularizar;CliReg;Ativo;Balanço Patrimonial;;;;90132;Comum
;40;01.1.2.09;T;   TRIBUTOS E CONTRIBUIÇÕES A COMPENSAR;;Ativo;Balanço Patrimonial;;;;90132;Comum
;41;01.1.2.09.001;;    ICMS a Recuperar;ICMSRECUP;Ativo;Balanço Patrimonial;;;;90132;Comum
;42;01.1.2.09.002;;    IPI a Recuperar;IPIRECUP;Ativo;Balanço Patrimonial;;;;90132;Comum
;43;01.1.2.09.003;;    IRRF a Recuperar;IRFRECUP;Ativo;Balanço Patrimonial;;;;90132;Comum
;44;01.1.2.09.004;;    IRPJ Estimado a Recuperar;IRPJRECUP;Ativo;Balanço Patrimonial;;;;90132;Comum
;45;01.1.2.09.005;;    Contribuição Social Estimada a Recuperar;CSRECUP;Ativo;Balanço Patrimonial;;;;90132;Comum
;46;01.1.2.09.006;;    PIS a Recuperar;PISRECUP;Ativo;Balanço Patrimonial;;;;90132;Comum
;47;01.1.2.09.007;;    COFINS a Recuperar;COFINSRECUP;Ativo;Balanço Patrimonial;;;;90132;Comum
;48;01.1.2.09.008;;    CSLL a Recuperar;CSLLRECUP;Ativo;Balanço Patrimonial;;;;90132;Comum
;49;01.1.2.09.009;;    ISS a Recuperar;ISSRECUP;Ativo;Balanço Patrimonial;;;;90132;Comum
