"Data";"Tipo";"Documento";"Descricao";"Historico";"Debito";"Credito";"Status"
"06/FEV/2026";"RESGATE AUTOMATICO";"000000";"RESGATE AUTOMATICO";"RESGATE AUTOMATICO";"";"1878.27";"pendente"
"06/FEV/2026";"PIX ENVIADO";"***********060";"PIX ENVIADO";"PIX ENVIADO";"709.21";"";"pendente"
"06/FEV/2026";"PIX ENVIADO";"***********069";"PIX ENVIADO";"PIX ENVIADO";"500.26";"";"pendente"
"06/FEV/2026";"PIX ENVIADO";"***********069";"PIX ENVIADO";"PIX ENVIADO";"334.40";"";"pendente"
"06/FEV/2026";"PIX ENVIADO";"***********060";"PIX ENVIADO";"PIX ENVIADO";"334.40";"";"pendente"
"20/FEV/2026";"RESGATE AUTOMATICO";"000000";"RESGATE AUTOMATICO";"RESGATE AUTOMATICO";"";"1074.16";"pendente"
"20/FEV/2026";"PIX ENVIADO";"***********060";"PIX ENVIADO";"PIX ENVIADO";"610.16";"";"pendente"
"20/FEV/2026";"PIX ENVIADO";"***********069";"PIX ENVIADO";"PIX ENVIADO";"464.00";"";"pendente"
